actors,actor_ids,genders,birthplaces,ages,movies,movie_ID
Jon Hamm,65717,2,"St. Louis, Missouri, USA",53.0,"['Shrek Forever After', 'The Town', 'Howl', 'Stolen', 'Friends with Kids', 'Bridesmaids', 'The Congress', 'Clear History', 'Million Dollar Arm', 'The A-Team', 'Minions', '7 Days in Hell', 'Beirut', 'Baby Driver', 'Absolutely Fabulous: The Movie', ""Comedy Central's All-Star Non-Denominational Christmas Special"", 'Aardvark', 'Keeping Up with the Joneses', 'Marjorie Prime', 'Nostalgia', ""Donkey's Christmas Shrektacular"", 'Tag', 'Tour de Pharmacy', 'Lucy in the Sky', 'Always at The Carlyle', 'Bad Times at the El Royale', 'Time of Day', 'The Report', 'Richard Jewell', 'Wild Mountain Thyme', 'Between Two Ferns: The Movie', 'The Jesus Rolls', 'Top Gun: Maverick', 'Sid & Judy', 'No Sudden Move', 'Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend', 'Tough Justice', 'The Story of Soaps', '2011 St. Louis Cardinals: The Official World Series Film', 'Confess, Fletch', ""Conan O'Brien Can't Stop"", 'VOMO: Vote or Miss Out', ""Sarah Cooper: Everything's Fine"", 'Maggie Moore(s)', 'Corner Office', 'Dean Martin: King of Cool', 'Shrek Stories', 'Metalocalypse: Army of the Doomstar', 'Party Monster: Scratching the Surface']","[10192.0, 23168.0, 38568.0, 127493.0, 80038.0, 55721.0, 152795.0, 133790.0, 198185.0, 34544.0, 211672.0, 287689.0, 399248.0, 339403.0, 372411.0, 306367.0, 419473.0, 331313.0, 426254.0, 442709.0, 51256.0, 455980.0, 458506.0, 340104.0, 370756.0, 446021.0, 548055.0, 524348.0, 292011.0, 628333.0, 584962.0, 429416.0, 361743.0, 599950.0, 649409.0, 683287.0, 700203.0, 706380.0, 716435.0, 724665.0, 65058.0, 740422.0, 732359.0, 800089.0, 800279.0, 890836.0, 252634.0, 828899.0, 1143956.0]"
Jon Huertas,62095,2,"New York City, New York, USA",47.0,"['Stash House', 'Miss Dial', 'Reparation', 'Lennon or McCartney', 'Altered Perception', 'Beverly Hills Chihuahua 2', 'Init!ation', 'Imprisoned', 'Exile', ""Prisoner's Daughter""]","[102630.0, 177851.0, 337515.0, 402123.0, 404782.0, 54540.0, 611489.0, 540122.0, 570358.0, 865382.0]"
Jon Voight,10127,2,"Yonkers, New York, USA",85.0,"['Hal', 'American Wrestler: The Wizard', 'Beyond', 'Getaway', 'Baby Geniuses 3: Baby Squad Investigators', 'Dracula: The Dark Prince', 'The Go-Go Boys: The Inside Story of Cannon Films', 'Baby Geniuses and the Treasures of Egypt', 'And the Oscar Goes To...', 'Woodlawn', 'Baby Geniuses and the Space Baby', 'A Christmas Eve Miracle', 'JL Family Ranch', 'Same Kind of Different as Me', 'Fantastic Beasts and Where to Find Them', 'Surviving The Wild', 'Orphan Horse', 'Roe v. Wade', 'Reagan', 'JL Family Ranch: The Wedding Gift', 'Love, Antosha', 'Man In The Arena', 'I Am Burt Reynolds', 'Ray Donovan: The Movie', 'Pablo', 'Casting By', 'Desperate Souls, Dark City and the Legend of Midnight Cowboy', 'Dangerous Game: The Legacy Murders', 'The Painter', 'Final Cut: Ladies and Gentlemen']","[322520.0, 431261.0, 87293.0, 146227.0, 165340.0, 218266.0, 295099.0, 278608.0, 253639.0, 333596.0, 355384.0, 369875.0, 412540.0, 300687.0, 259316.0, 503267.0, 564766.0, 565470.0, 56761.0, 689927.0, 565276.0, 728448.0, 777117.0, 800425.0, 153153.0, 127878.0, 1004929.0, 1027385.0, 1211957.0, 126314.0]"
Jonah Hill,21007,2,"Los Angeles, California, USA",40.0,"['How to Train Your Dragon', 'Get Him to the Greek', 'Moneyball', 'Megamind', '21 Jump Street', 'Cyrus', 'Legend of the BoneKnapper Dragon', 'The Watch', 'Django Unchained', 'How to Train Your Dragon 2', 'Dragons: Gift of the Night Fury', 'The Sitter', 'This Is the End', 'The Lego Movie', '22 Jump Street', 'True Story', 'The Wolf Pack', 'Sausage Party', 'Comedy Central Roast of James Franco', 'Hail, Caesar!', 'War Dogs', 'The Lego Batman Movie', ""Don't Worry, He Won't Get Far on Foot"", 'Dumb: The Story of Big Brother Magazine', 'The Lego Movie 2: The Second Part', 'The Beach Bum', 'Batman Is Just Not That Into You', 'How to Train Your Dragon: The Hidden World', ""Don't Look Up"", 'Moneyball: Playing the Game', 'You People', 'The Wolf of Wall Street', 'Madame X Presents: Madame Xtra Q&A', 'Stutz', 'Albert Brooks: Defending My Life', 'Away Days']","[10191.0, 32823.0, 60308.0, 38055.0, 64688.0, 39053.0, 47626.0, 80035.0, 68718.0, 82702.0, 91417.0, 57431.0, 109414.0, 137106.0, 187017.0, 245706.0, 259465.0, 223702.0, 300302.0, 270487.0, 308266.0, 324849.0, 443009.0, 453053.0, 280217.0, 441384.0, 461834.0, 166428.0, 646380.0, 755664.0, 866413.0, 106646.0, 916354.0, 799375.0, 1184849.0, 402429.0]"
Jonathan Aris,28477,2,"London, England, UK",53.0,"[""Gulliver's Travels"", ""The World's End"", 'Sightseers', 'The Martian', 'Race', 'Sherlock: The Abominable Bride', 'Morgan', 'Rogue One: A Star Wars Story', 'Churchill', 'The Death of Stalin', 'All the Money in the World', 'Black Mirror: Bandersnatch', 'Get Duked!', 'Vivarium', 'Enjoy', 'Zone 414', 'She Will', 'Sherlock: Many Happy Returns']","[38745.0, 107985.0, 117974.0, 286217.0, 323677.0, 379170.0, 377264.0, 330459.0, 399790.0, 402897.0, 446791.0, 569547.0, 580629.0, 458305.0, 822509.0, 675319.0, 852485.0, 924848.0]"
Jonathan Banks,783,2,"Washington, D.C., USA",77.0,"['Boiling Point', 'Identity Thief', 'Authors Anonymous', 'Trash', 'Horrible Bosses 2', 'Robot Chicken DC Comics Special III: Magische Freundschaft', 'Term Life', 'The Commuter', 'Mudbound', 'Watercolor Postcards', 'Redbad', 'Incredibles 2', 'El Camino: A Breaking Bad Movie', 'Assassin', 'The Wolf: True Alpha', 'Catwoman: Hunted', 'The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie', 'No Half Measures: Creating the Final Season of Breaking Bad']","[807196.0, 109431.0, 255491.0, 206563.0, 227159.0, 363863.0, 257440.0, 399035.0, 414425.0, 295196.0, 485296.0, 260513.0, 559969.0, 921355.0, 849874.0, 862491.0, 934809.0, 239459.0]"
Jonathan Brandis,27773,2,"Danbury, Connecticut, USA",48.0,['kid 90'],[795859.0]
Jonathan Nolan,527,2,"London, England, UK",47.0,"['The Fire Rises: The Creation and Impact of The Dark Knight Trilogy', 'Showrunners: The Art of Running a TV Show', 'Do You Trust this Computer?', ""Inside 'Interstellar'"", 'Ending the Knight', 'Catwoman: The Feline Femme Fatale', 'United We Fan', 'The Science of Interstellar']","[243238.0, 147778.0, 516503.0, 529107.0, 703363.0, 829707.0, 521139.0, 336592.0]"
Jonathan Pryce,378,2,"Carmel, Flintshire, Wales, UK",76.0,"['City State', 'G.I. Joe: Retaliation', 'Patience (After Sebald)', 'Listen Up Philip', 'The Salvation', 'Dough', 'Narcopolis', 'The Healer', 'The Wife', 'King Lear', 'The White King', 'Woman in Gold', 'Under Milk Wood', 'To Walk Invisible', 'The Man Who Invented Christmas', 'Becoming Cary Grant', 'Miss Saigon : 25th Anniversary Performance', 'The Man Who Killed Don Quixote', 'To Provide All People', 'The Two Popes', 'He Dreams of Giants', 'The Ghost and the Whale', 'All the Old Knives', 'Piney: The Lonesome Pine', 'Save the Cinema', 'Dark Blood', 'Scrooge: A Christmas Carol', 'One Life', 'Soul of the Ocean']","[47954.0, 72559.0, 96535.0, 251736.0, 266285.0, 299780.0, 301228.0, 340270.0, 340613.0, 513427.0, 364410.0, 304357.0, 274170.0, 430158.0, 450322.0, 455968.0, 417820.0, 297725.0, 532616.0, 551332.0, 644158.0, 307087.0, 294793.0, 773164.0, 790386.0, 136884.0, 1001865.0, 760774.0, 1077779.0]"
Jonathan Rhys Meyers,1244,2,"Dublin, Ireland",46.0,"['From Paris with Love', '6 Souls', 'Tangled', 'Stonewall', 'The Shadow Effect', 'The Mortal Instruments: City of Bones', 'Belle du Seigneur', 'Another Me', 'Albert Nobbs', 'Damascus Cover', 'London Town', 'The 12th Man', 'Black Butterfly', 'The Aspern Papers', 'Holy Lands', 'Yakuza Princess', 'American Night', 'The Survivalist', 'Edge of the World', 'Elvis', 'The Good Neighbor', 'Wifelike', 'Dangerous Game: The Legacy Murders', 'Disquiet', '97 Minutes']","[26389.0, 41505.0, 38757.0, 273899.0, 383538.0, 123553.0, 201365.0, 252529.0, 73873.0, 324538.0, 394822.0, 435577.0, 76812.0, 499963.0, 550958.0, 661595.0, 695080.0, 329004.0, 806690.0, 614934.0, 339994.0, 1001835.0, 1027385.0, 1072074.0, 940241.0]"
Jordana Brewster,22123,1,"Panama City, Panama",44.0,"['Fast Five', 'American Heist', 'Furious 7', 'Home Sweet Hell', 'Fast & Furious 6', 'Random Acts of Violence', 'F9', 'Hooking Up', 'Fast X', 'On Our Way', 'Simulant', 'The Integrity of Joseph Chambers', 'Who Invited Charlie?']","[51497.0, 250066.0, 168259.0, 276839.0, 82992.0, 582049.0, 385128.0, 673159.0, 385687.0, 894779.0, 942199.0, 950161.0, 1042279.0]"
Joseph Fiennes,12763,2,"Salisbury, Wiltshire, England, UK",53.0,"['Leo', 'Shakespeare Live! From the RSC', 'The Games Maker', 'Hercules', 'Strangerland', 'On Wings of Eagles', 'Risen', 'A Lost and Found Box of Human Sensation', 'The Mother']","[1075794.0, 396083.0, 262788.0, 184315.0, 245846.0, 346684.0, 335778.0, 460656.0, 552688.0]"
Joseph Gordon-Levitt,24045,2,"Los Angeles, California, USA",43.0,"['Sin City: A Dame to Kill For', 'Inception', '50/50', 'Manic', 'Hesher', 'The Dark Knight Rises', 'Premium Rush', ""Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo"", 'Elektra Luxx', 'Looper', 'Don Jon', ""Morgan M. Morgansen's Date with Destiny"", 'Lady Gaga and the Muppets Holiday Spectacular', 'The Walk', 'Dreams: Cinema of the Subconscious', 'Straight Outta OZ', 'Snowden', 'The Interview', 'Star Wars: The Last Jedi', '7500', 'The Trial of the Chicago 7', 'Band Together with Logic', 'Project Power', 'Sesame Street: 50th Anniversary Celebration!', 'Knives Out', 'Ending the Knight', 'Lincoln: An American Journey', 'Dear Class of 2020', 'Vinegar', 'Pinocchio', 'A Forest Haunt', 'Comedy Central Roast of Bruce Willis', 'Flora and Son', 'Glass Onion: A Knives Out Mystery', 'Once Upon a Studio', 'Inception: The Cobol Job']","[189.0, 27205.0, 40807.0, 523772.0, 44835.0, 49026.0, 49526.0, 53225.0, 56272.0, 59967.0, 138697.0, 163047.0, 240000.0, 962279.0, 334931.0, 404112.0, 302401.0, 228967.0, 181808.0, 509585.0, 556984.0, 588437.0, 605116.0, 646317.0, 546554.0, 703363.0, 709073.0, 713500.0, 767621.0, 532639.0, 978892.0, 536056.0, 1059811.0, 661374.0, 1139087.0, 64956.0]"
Josephine Langford,1753914,1,"Perth, Australia",26.0,"['Wish Upon', 'After', 'They Come Knocking', 'After We Collided', 'After We Fell', 'After Ever Happy', 'Gigi & Nate', 'The Other Zoey', 'After Everything']","[440597.0, 537915.0, 599777.0, 613504.0, 744275.0, 744276.0, 829503.0, 912916.0, 448557.0]"
Josh Brolin,16851,2,"Santa Monica, Los Angeles, California, USA",56.0,"['Sin City: A Dame to Kill For', 'Jonah Hex', 'Wall Street: Money Never Sleeps', 'Men in Black 3', 'True Grit', 'You Will Meet a Tall Dark Stranger', 'Gangster Squad', 'Oldboy', 'Labor Day', 'Sicario', 'Hawaiian: The Legend of Eddie Aikau', 'Everest', 'Inherent Vice', 'Hail, Caesar!', 'Woody Allen: A Documentary', 'The Legacy of a Whitetail Deer Hunter', 'Only the Brave', 'Sicario: Day of the Soldado', 'Guardians of the Galaxy', 'Avengers: Age of Ultron', 'Avengers: Infinity War', 'Unchained: The Untold Story of Freestyle Motocross', 'Deadpool 2', 'Once Upon a Deadpool', 'Dune', 'The Women of SNL', 'Flag Day', 'Avengers: Endgame', 'Dune: Part Two', 'Chadwick Boseman: A Tribute for a King', 'The Tony Alva Story', 'Chryskylodon Blues', 'The Tillman Story', 'Radioman']","[189.0, 20533.0, 33909.0, 41154.0, 44264.0, 38031.0, 82682.0, 87516.0, 130150.0, 273481.0, 233466.0, 253412.0, 171274.0, 270487.0, 81167.0, 311307.0, 395991.0, 400535.0, 118340.0, 99861.0, 299536.0, 426568.0, 383498.0, 567604.0, 438631.0, 292097.0, 662712.0, 299534.0, 693134.0, 738005.0, 626095.0, 345177.0, 43924.0, 103733.0]"
Josh Duhamel,19536,2,"Minot, North Dakota, USA",51.0,"['When in Rome', 'The Romantics', ""New Year's Eve"", 'Transformers: Dark of the Moon', 'Life As We Know It', 'Movie 43', 'Safe Haven', 'Wings', 'Fire with Fire', 'Scenic Route', 'Don Peyote', 'Wings: Sky Force Heroes', ""You're Not You"", 'Planet Ocean', 'Bravetown', 'Lost in the Sun', 'Misconduct', 'Spaceman', 'The Show', 'Transformers: The Last Knight', 'Ramona and Beezus', 'The Institute', 'Love, Simon', 'Buddy Games', 'CHiPS', 'Think Like a Dog', 'Capsized: Blood in the Water', 'The Lost Husband', 'Shotgun Wedding', 'Batman: The Long Halloween, Part One', 'Batman: The Long Halloween, Part Two', 'Bandit', 'Night of the Animated Dead', 'Batman: The Long Halloween Deluxe Edition', 'Buddy Games: Spring Awakening', ""Reno 911!: It's a Wonderful Heist""]","[13477.0, 41556.0, 62838.0, 38356.0, 38408.0, 87818.0, 112949.0, 132563.0, 139567.0, 172847.0, 249169.0, 280890.0, 290542.0, 152113.0, 300666.0, 360203.0, 373314.0, 636706.0, 375098.0, 335988.0, 38843.0, 416166.0, 449176.0, 472815.0, 417644.0, 513584.0, 614817.0, 686142.0, 758009.0, 736073.0, 736074.0, 842942.0, 858064.0, 1010830.0, 1017507.0, 1051909.0]"
Josh Hartnett,2299,2,"Saint Paul, Minnesota, USA",45.0,"['Bunraku', 'Girl Walks Into a Bar', 'The Lovers', 'Stuck Between Stations', 'Parts Per Billion', ""She's Missing"", 'Wild Horses', '6 Below: Miracle on the Mountain', 'Oh Lucy!', 'The Ottoman Lieutenant', 'Valley of the Gods', 'Target Number One', 'Revisiting The Virgin Suicides', 'Inherit the Viper', 'Wrath of Man', 'Operation Fortune: Ruse de Guerre', 'Ida Red', 'Blood Is Thicker Than Water: The Making of Halloween H20', 'Oppenheimer', 'Die Hart']","[30618.0, 59006.0, 79698.0, 89883.0, 270654.0, 466281.0, 324333.0, 423087.0, 430644.0, 433356.0, 331044.0, 526973.0, 598280.0, 634904.0, 637649.0, 739405.0, 818192.0, 420583.0, 872585.0, 1077280.0]"
Josh Hutcherson,27972,2,"Union, Kentucky, USA",31.0,"['Red Dawn', 'The Kids Are All Right', 'The Hunger Games', 'Journey 2: The Mysterious Island', 'The Forger', 'The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 1', 'The Hunger Games: Mockingjay - Part 2', 'Epic', 'Escobar: Paradise Lost', 'In Dubious Battle', 'The Rusted', 'The Disaster Artist', 'Sixth Man: Bluesanity', '7 Days in Havana', 'Tragedy Girls', 'Ape', 'Elliot: The Littlest Reindeer', 'Burn', 'The Mockingjay Lives: The Making of the Hunger Games: Mockingjay Part 1', 'Across the River and Into the Trees', 'The World Is Watching: Making the Hunger Games', 'Surviving the Game: Making The Hunger Games: Catching Fire', 'Pawns No More: The Making of The Hunger Games: Mockingjay Part 2', '57 Seconds', 'The Beekeeper', ""Five Nights at Freddy's""]","[60747.0, 39781.0, 70160.0, 72545.0, 255157.0, 101299.0, 131631.0, 131634.0, 116711.0, 255343.0, 337844.0, 366847.0, 371638.0, 311767.0, 94904.0, 413857.0, 442081.0, 455842.0, 508138.0, 514231.0, 763147.0, 513866.0, 871533.0, 871582.0, 937249.0, 866398.0, 507089.0]"
Josh O'Connor,1206334,2,"Cheltenham, Gloucestershire, England, UK",33.0,"['The Wipers Times', 'Bridgend', 'Florence Foster Jenkins', 'The Riot Club', ""God's Own Country"", 'The Eschatrilogy: Book of the Dead', 'The Magnificent Eleven', 'The Program', 'The Colour of His Hair', 'Boys on Film 18: Heroes', 'Hope Gap', 'Emma.', 'Mothering Sunday', 'Best Man', 'Romeo & Juliet', 'Aisha', 'Cinderella', 'La Chimera']","[220674.0, 316885.0, 315664.0, 270302.0, 428493.0, 154303.0, 191825.0, 271736.0, 436524.0, 533044.0, 537140.0, 556678.0, 718838.0, 403634.0, 91745.0, 820880.0, 593910.0, 837335.0]"
Judd Nelson,21624,2,"Portland, Maine, USA",64.0,"['Infected', ""Don't You Forget About Me"", 'Endure', 'The Terror Experiment', 'Mayor Cupcake', 'Billionaire Boys Club', 'Relentless', 'Cancel Christmas', 'Shadow People', 'Bad Kids Go To Hell', 'Down and Dangerous', ""Kristin's Christmas Past"", 'Haunting of the Innocent', 'Nurse 3-D', 'Bigfoot Wars', 'Private Number', 'Black Friday', 'This Is Happening', 'Billionaire Boys Club', 'The Bandit Hound', 'Stagecoach: The Texas Jack Story', '1/1', 'Madness in the Method', ""From Straight A's to XXX"", 'Transformers: Titans Return', 'Transformers: Power of the Primes', 'Dauntless: The Battle of Midway', 'Dead Water', 'Santa Fake', 'Have a Good Trip: Adventures in Psychedelics', 'Electric Jesus', 'Iceland is Best', 'Girl in the Basement', 'Clerk', '#Unknown', 'A Tale of Two Guns', 'The Most Dangerous Game', 'When Duty Calls', ""Dante's Hotel""]","[126962.0, 42273.0, 63273.0, 68212.0, 69803.0, 385360.0, 503420.0, 144712.0, 176570.0, 138372.0, 164286.0, 239347.0, 253794.0, 78383.0, 290724.0, 336167.0, 765869.0, 360119.0, 385360.0, 391375.0, 412894.0, 413576.0, 432152.0, 441168.0, 521494.0, 535401.0, 604837.0, 618433.0, 636502.0, 673175.0, 736228.0, 745499.0, 801335.0, 681947.0, 926378.0, 940175.0, 994702.0, 398639.0, 1190025.0]"
Jude Law,9642,2,"Lewisham, London, England, UK",51.0,"['Repo Men', 'Rage', 'Hugo', 'Contagion', 'Rise of the Guardians', 'Sherlock Holmes: A Game of Shadows', 'Anna Karenina', '360', 'The Grand Budapest Hotel', 'Side Effects', 'Dom Hemingway', 'Black Sea', 'Genius', 'King Arthur: Legend of the Sword', 'The Vote', 'Spy', 'Connection', 'Vox Lux', 'Muse of Fire', 'Fantastic Beasts: The Crimes of Grindelwald', 'National Theatre Live: Obsession', 'A Rainy Day in New York', 'The Rhythm Section', 'Free Speech Fear Free', 'The Nest', 'Captain Marvel', 'Skywatch', 'Fantastic Beasts: The Secrets of Dumbledore', 'Sherlock Holmes: Reinvented', 'Sherlock Holmes and Dr. Watson: A Perfect Chemistry', 'Peter Pan & Wendy', 'The Third Day: Autumn', 'Neo Yokio: Pink Christmas', 'Letters Live from the Archive: Freemasons’ Hall', 'Firebrand', 'The Making of The Grand Budapest Hotel', 'Radioman', 'The Marvels']","[31867.0, 242310.0, 44826.0, 39538.0, 81188.0, 58574.0, 96724.0, 89455.0, 120467.0, 109421.0, 192134.0, 246080.0, 267192.0, 274857.0, 338984.0, 238713.0, 381933.0, 429202.0, 232599.0, 338952.0, 444453.0, 475303.0, 466622.0, 459163.0, 545237.0, 299537.0, 643022.0, 338953.0, 683258.0, 683262.0, 420808.0, 749418.0, 768169.0, 806492.0, 848439.0, 1104269.0, 103733.0, 609681.0]"
Judy Greer,20750,1,"Detroit, Michigan, USA",48.0,"['Love & Other Drugs', 'Barry Munday', 'Addicted to Fresno', 'The Descendants', ""Henry's Crime"", 'Jeff, Who Lives at Home', 'Playing for Keeps', 'The Key Man', 'Dawn of the Planet of the Apes', 'Jamie Marks Is Dead', 'Men, Women & Children', 'Republicans, Get in My Vagina!', 'Jurassic World', 'Grandma', 'Tomorrowland', 'Peep World', 'Ant-Man', 'Entourage', 'All We Had', 'Ordinary World', 'Sunset Strip', 'Marmaduke', 'War for the Planet of the Apes', 'Measure of a Man', 'Pottersville', 'Lemon', 'Our Souls at Night', 'Wilson', ""Where'd You Go, Bernadette"", 'Adventures in Public School', 'Halloween', 'Ant-Man and the Wasp', 'A StoryBots Christmas', 'The 15:17 to Paris', 'Creating Carrie', 'Buffaloed', ""Let's Go Luna!: Luna's Christmas Around the World"", 'Halloween Kills', 'Playing with Fire', 'Uncle Frank', 'Good Boy', 'Family Squares', 'Hollywood Stargirl', 'Gringa', 'America: The Motion Picture', 'Lady of the Manor', 'Three Months', ""My Father's Dragon"", 'Eric LaRue', 'Halloween Ends', 'Guardians of the Galaxy Vol. 3', 'Aporia']","[43347.0, 44594.0, 301629.0, 65057.0, 53172.0, 82532.0, 77875.0, 106288.0, 119450.0, 244562.0, 243684.0, 290878.0, 135397.0, 309304.0, 158852.0, 55632.0, 102899.0, 188222.0, 389630.0, 390777.0, 200063.0, 38579.0, 281338.0, 411996.0, 413990.0, 428585.0, 433252.0, 346681.0, 405177.0, 471515.0, 424139.0, 363088.0, 490154.0, 453201.0, 499739.0, 547012.0, 568315.0, 610253.0, 554241.0, 634544.0, 710717.0, 787767.0, 799883.0, 801787.0, 739542.0, 761388.0, 793992.0, 560052.0, 996445.0, 616820.0, 447365.0, 528502.0]"
Julia Campbell,19455,1,"Huntsville, Alabama, USA",61.0,"['The Craigslist Killer', 'Arcadia', 'Who Killed JonBenét?', 'Jesus Revolution']","[55680.0, 154537.0, 426232.0, 719256.0]"
Julia Garner,936970,1,"Bronx, New York City, New York, USA",30.0,"['The Perks of Being a Wallflower', 'Martha Marcy May Marlene', 'Electrick Children', 'The Last Exorcism Part II', 'We Are What We Are', 'I Believe in Unicorns', 'Hairbrained', 'Sin City: A Dame to Kill For', 'Grandma', 'One Thousand Cranes', 'Good Kids', 'Send', 'Tomato Red', 'One Percent More Humid', 'Everything Beautiful Is Far Away', 'The Assistant', 'The Royal Hotel', 'A Farewell to Ozark']","[84892.0, 50837.0, 89237.0, 146203.0, 159128.0, 253257.0, 239056.0, 189.0, 309304.0, 334687.0, 352186.0, 402224.0, 441483.0, 426054.0, 459974.0, 627463.0, 944952.0, 968967.0]"
Julia Ormond,15887,1,"Epsom, Surrey, England, UK",59.0,"['Ladies in Black', 'Temple Grandin', 'The Wronged Man', 'Resistance', 'Albatross', 'The Music Never Stopped', 'My Week with Marilyn', 'The East', 'The Green', 'Chained', 'Exploding Sun', 'Unity', 'Rememory', 'Tour de Pharmacy', 'Son of the South', 'Sean Connery: In His Own Words', 'Home Education - Le regole del male']","[483411.0, 33602.0, 45104.0, 491926.0, 72842.0, 56401.0, 75900.0, 87499.0, 79475.0, 116979.0, 212986.0, 345323.0, 395814.0, 458506.0, 686548.0, 736636.0, 1125186.0]"
Julia Roberts,1204,1,"Smyrna, Georgia, USA",56.0,"[""Valentine's Day"", 'Mirror Mirror', 'Eat Pray Love', 'Love, Wedding, Marriage', 'Larry Crowne', 'August: Osage County', 'The Normal Heart', 'Secret in Their Eyes', 'Money Monster', ""Mother's Day"", 'Taylor Swift: The 1989 World Tour - Live', 'Smurfs: The Lost Village', 'Ben Is Back', ""Let's Dance"", 'Wonder', 'The Happy Days of Garry Marshall', 'Leave the World Behind', 'Ticket to Paradise', 'Tom Hanks: The Nomad', 'His Way']","[32856.0, 62764.0, 38167.0, 59296.0, 59861.0, 152737.0, 113833.0, 290751.0, 303858.0, 101669.0, 373558.0, 137116.0, 492452.0, 567104.0, 406997.0, 705088.0, 726209.0, 800939.0, 1128918.0, 63472.0]"
Julia Stiles,12041,1,"New York City, New York, USA",43.0,"['Silver Linings Playbook', 'Girl Most Likely', ""It's a Disaster"", 'The Makeover', 'Closed Circuit', 'Sexting', 'Out of the Dark', 'Jason Bourne', 'Blackway', 'Misconduct', 'The Great Gilly Hopkins', '11:55', 'Hits', 'The Drowning', 'Trouble', 'Hustlers', 'The God Committee', 'Orphan: First Kill', 'Between Us', 'Halftime']","[82693.0, 72890.0, 114779.0, 164443.0, 146223.0, 275557.0, 283686.0, 324668.0, 359790.0, 373314.0, 331588.0, 394770.0, 242083.0, 420260.0, 570480.0, 540901.0, 653024.0, 760161.0, 390526.0, 962192.0]"
Julian McMahon,20402,2,"Sydney, New South Wales, Australia",55.0,"['RED', 'Faces in the Crowd', 'Monster Party', 'Paranoia', ""You're Not You"", 'Swinging Safari', 'Fire with Fire']","[39514.0, 70577.0, 458969.0, 115348.0, 290542.0, 454033.0, 139567.0]"
Julianna Margulies,25654,1,"Spring Valley, New York, USA",57.0,"['Stand Up Guys', 'Three Christs', 'The Upside', 'Viral: Antisemitism in Four Mutations', 'Unladylike2020', 'United We Fan']","[121824.0, 418533.0, 440472.0, 676532.0, 713750.0, 521139.0]"
Julianne Moore,1231,1,"Fayetteville, North Carolina, USA",63.0,"['Safe', 'Chloe', '6 Souls', 'The Kids Are All Right', 'Seventh Son', 'Crazy, Stupid, Love.', 'Game Change', 'Elektra Luxx', 'Being Flynn', 'What Maisie Knew', 'The Hunger Games: Mockingjay - Part 1', 'The Hunger Games: Mockingjay - Part 2', 'Maps to the Stars', 'Don Jon', 'The English Teacher', 'Non-Stop', ""A Child's Garden of Poetry"", 'Still Alice', 'Altman', 'Freeheld', ""Maggie's Plan"", 'Kingsman: The Golden Circle', '9 Kisses', 'Suburbicon', 'Wonderstruck', 'Gloria Bell', 'Creating Carrie', 'The Glorias', 'Bel Canto', 'The Woman in the Window', 'The Staggering Girl', 'The Mockingjay Lives: The Making of the Hunger Games: Mockingjay Part 1', 'When You Finish Saving the World', 'Sharper', 'Return to Jurassic Park', 'Spirit Untamed', 'French Water', 'May December', 'With/In Volume 1', 'Pawns No More: The Making of The Hunger Games: Mockingjay Part 2', 'Dear Evan Hansen', 'With/In Volume 2']","[72387.0, 28211.0, 41505.0, 39781.0, 68737.0, 50646.0, 91010.0, 56272.0, 78571.0, 127373.0, 131631.0, 131634.0, 157851.0, 138697.0, 174321.0, 225574.0, 268248.0, 284293.0, 278086.0, 306745.0, 312669.0, 343668.0, 341747.0, 395458.0, 383709.0, 491473.0, 499739.0, 519056.0, 519255.0, 520663.0, 560949.0, 514231.0, 691422.0, 717980.0, 503210.0, 637693.0, 818349.0, 839369.0, 838480.0, 871582.0, 567690.0, 838482.0]"
Julie Benz,35551,1,"Pittsburgh, Pennsylvania, USA",52.0,"['Kill Your Darlings', 'Answers to Nothing', 'Taken: The Search for Sophie Parker', 'Supremacy', 'Circle', 'Sole Custody', 'Charming Christmas', 'Life on the Line', 'Havenhurst', 'Christmas Homecoming', 'Foster Boy', 'Nocturne', 'Secrets of a Gold Digger Killer', ""Rambo: To Hell and Back - Director's Production Diary""]","[157370.0, 75576.0, 231242.0, 277702.0, 335866.0, 253532.0, 363476.0, 398289.0, 403368.0, 479614.0, 679782.0, 643550.0, 839727.0, 208450.0]"
Julie Bowen,31171,1,"Baltimore, Maryland, USA",54.0,"['Crazy on the Outside', 'Horrible Bosses', 'Jumping the Broom', 'Knife Fight', 'Planes: Fire & Rescue', 'Scooby-Doo! Mecha Mutt Menace', 'Planes Fire and Rescue: Dipper', 'Tangled: Before Ever After', 'Life of the Party', 'Hubie Halloween', 'Mixtape', 'Totally Killer', 'The Fallout']","[35458.0, 51540.0, 57119.0, 157919.0, 218836.0, 314387.0, 316540.0, 438747.0, 399796.0, 617505.0, 32471.0, 974931.0, 795514.0]"
Julie Condra,57745,1,"Ballinger, Texas, USA",53.0,"['The Driver', 'One Night in Bangkok']","[410605.0, 721452.0]"
