actors,actor_ids,genders,birthplaces,ages,movies,movie_ID
Adrienne Barbeau,11782,1,"Sacramento, California, USA",78.0,"['The Memory Book', 'Divine Access', 'Tales of Halloween', 'ISRA 88', 'Complacent', 'Death House', 'Open House', 'Hoax', 'Bring Me the Head of Lance Henriksen', 'Big Legend', 'Gates of Darkness', 'Malevolence 3: Killer', 'Eagle and the Albatross', 'The Thing', 'Swell', 'Exorcism at 60,000 Feet', 'Little Willy', 'Apple Seed', 'For the Love of Jessee', 'Unearth', ""Celebrity Nude Revue: Easy 80's Volume 1"", 'Argo', 'Catwoman: The Feline Femme Fatale', 'In Search of Darkness: Part III', 'Hellblazers']","[288899.0, 356900.0, 306964.0, 401222.0, 246895.0, 287523.0, 39959.0, 513372.0, 515197.0, 526224.0, 526225.0, 537943.0, 551989.0, 60935.0, 591072.0, 680653.0, 705416.0, 712353.0, 699060.0, 678945.0, 576616.0, 68734.0, 829707.0, 891996.0, 801691.0]"
Afra Saraçoğlu,1955840,1,"Balıkesir, Türkiye",26.0,"['Bad Boy', 'Good Game: The Beginning', 'Is This Love?', 'Second Chance']","[437486.0, 583247.0, 613976.0, 462653.0]"
Ai Yoshikawa,1745973,1,"Tokyo, Japan",24.0,"['Rainbow Days', 'RoomMate', '12 Suicidal Teens', 'Rolling Marbles', 'Climb Miss Kotera', 'Honey Lemon Soda', 'Alive Drift', 'Hot Gimmick: Girl Meets Boy']","[494082.0, 269136.0, 566387.0, 649444.0, 698868.0, 853821.0, 983866.0, 602797.0]"
Aidan Gillen,49735,2,"Dublin, Ireland",56.0,"['The Dark Knight Rises', 'Blitz', 'Shadow Dancer', 'Wake Wood', 'Treacle Jr.', 'Mister John', 'Beneath the Harvest Sky', 'Calvary', 'Men of Granite', 'Safe', 'Ambition', 'Still', 'Maze Runner: The Scorch Trials', ""You're Ugly Too"", 'King Arthur: Legend of the Sword', 'Sing Street', 'Maze Runner: The Death Cure', 'The Lovers', 'Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms', 'Dave Allen at Peace', 'Bohemian Rhapsody', 'Rose Plays Julie', 'Those Who Wish Me Dead', 'The Good Man', 'Sigur Rós: Valtari Film Experiment', 'When Cary Grant Introduced Timothy Leary to LSD', 'Violet', 'Thorne: Scaredycat', 'The Courier', 'Dance First', 'Further Beyond', 'Barber']","[49026.0, 55846.0, 84336.0, 59726.0, 79404.0, 199929.0, 215931.0, 157832.0, 283603.0, 72387.0, 298077.0, 300451.0, 294254.0, 323315.0, 274857.0, 369557.0, 336843.0, 79698.0, 492606.0, 515169.0, 424694.0, 589820.0, 578701.0, 143662.0, 183613.0, 691178.0, 665901.0, 603409.0, 611914.0, 978114.0, 413797.0, 1089765.0]"
Aimee Garcia,56457,1,"Chicago, Illinois, USA",45.0,"['Go for It!', 'After the Reality', 'Sister Cities', 'El Chicano', 'The Addams Family', 'Holiday in Santa Fe', 'What They Had', 'Murder at Yellowstone City', 'Christmas with You', 'The Cases of Mystery Lane']","[61038.0, 416987.0, 348611.0, 547590.0, 481084.0, 881239.0, 451919.0, 974961.0, 936960.0, 1081429.0]"
Akira Kurosawa,5026,2,"Shinagawa, Tokyo Prefecture, Japan",114.0,"['And the Oscar Goes To...', 'What Is Cinema?', 'Babenco: Tell Me When I Die', 'Life work of Akira Kurosawa']","[253639.0, 219292.0, 618386.0, 1053998.0]"
Al Pacino,1158,2,"New York City, New York, USA",84.0,"[""You Don't Know Jack"", 'Jack and Jill', 'Wilde Salomé', 'The Son of No One', 'Stand Up Guys', 'Phil Spector', 'Salomé', 'The Godfather Legacy', 'Danny Collins', 'The Humbling', 'Manglehorn', 'Misconduct', 'The Pirates of Somalia', 'The Irishman', 'Julian Schnabel: A Private Portrait', 'Hangman', 'Paterno', 'Once Upon a Time... in Hollywood', 'Frank Serpico', ""We're No Animals"", 'American Traitor: The Trial of Axis Sally', 'The Irishman: In Conversation', 'Marlon Brando: An Actor Named Desire', 'Al Pacino: The Reluctant Star', 'The Collaboration Of A Lifetime: Scorsese’s Epic The Irishman', 'House of Gucci', ""Making 'The Irishman'"", 'Casting By', 'Becoming Al Pacino', 'Knox Goes Away', ""The 'Scarface' Phenomenon"", 'Dick Tracy Special: Tracy Zooms In', 'Final Cut: Ladies and Gentlemen', 'Robert De Niro: Hiding in the Spotlight', 'why are movies so shitty these days', 'Sly']","[36950.0, 71880.0, 73564.0, 74536.0, 121824.0, 173153.0, 217919.0, 294636.0, 256924.0, 254023.0, 254905.0, 373314.0, 394537.0, 398978.0, 455359.0, 323368.0, 467867.0, 466272.0, 454192.0, 289561.0, 603603.0, 651724.0, 390105.0, 697050.0, 707828.0, 644495.0, 768378.0, 127878.0, 926616.0, 972614.0, 326751.0, 1084625.0, 126314.0, 1171401.0, 1243848.0, 1146302.0]"
Alain Delon,15135,2,"Sceaux, Seine [now Hauts-de-Seine], France",88.0,"['The Fighter', 'Mommies, Happy New Year!', 'An Intimate History of Occupation', 'Une journée ordinaire', 'Belmondo by Belmondo', 'Disclaimer', 'Charles Bronson: The Spirit of Masculinity', 'Alain Delon, a unique portrait', 'Belmondo, le magnifique', 'Melville, le dernier samouraï', 'Romy: 40 ans après, ultimes confidences', 'Luchino Visconti: Between Truth and Passion', 'Final Cut: Ladies and Gentlemen', 'Romy Schneider & Alain Delon: An Enduring Passion']","[45317.0, 159447.0, 222550.0, 345691.0, 444269.0, 550158.0, 769938.0, 451946.0, 474791.0, 686836.0, 979612.0, 451335.0, 126314.0, 987259.0]"
Alan Rickman,4566,2,"Hammersmith, London, UK",78.0,"['Alice in Wonderland', 'Harry Potter and the Deathly Hallows: Part 1', 'Harry Potter and the Deathly Hallows: Part 2', 'The Song of Lunch', 'CBGB', 'The Butler', 'The Boy in the Bubble', 'A Promise', 'A Little Chaos', 'Eye in the Sky', 'Alice Through the Looking Glass', 'Richard Attenborough: A Life in Film', 'Muse of Fire', 'Romeo & Juliet']","[12155.0, 12444.0, 12445.0, 53314.0, 111479.0, 132363.0, 214673.0, 214081.0, 283227.0, 333352.0, 241259.0, 329614.0, 232599.0, 91745.0]"
Alan Ritchson,64295,2,"Grand Forks, North Dakota, USA",41.0,"['The Hunger Games: Catching Fire', 'Blue Mountain State: The Rise of Thadland', 'Lazer Team', 'Office Uprising', 'The Wedding Ringer', 'Teenage Mutant Ninja Turtles: Out of the Shadows', 'Alpha Chow', 'The Turkey Bowl', 'Tree House Time Machine', 'Ghosts of War', 'Above the Shadows', 'Dark Web: Cicada 3301', 'Ordinary Angels', 'Fast X', 'Reacher - Prime Premiere', 'Teenage Mutant Ninja Turtles', 'War Machine']","[101299.0, 288171.0, 279096.0, 381237.0, 252838.0, 308531.0, 410659.0, 532893.0, 553636.0, 608195.0, 609734.0, 791469.0, 974036.0, 385687.0, 1220655.0, 98566.0, 354287.0]"
