actor,community,degree
Jessica Steen,736,0
Jessica Stroup,737,0
Jessica Williams,14,10
Jessie Buckley,16,1
Jet Li,0,13
Ji Chang-wook,168,1
Ji Eun-seo,168,3
Ji Jin-hee,738,0
Jill Clayburgh,739,0
Jill Hennessy,740,0
Jill St. John,7,1
Jill Wagner,15,8
Jillian Murray,18,1
Jim Belushi,11,13
Jim Broadbent,16,38
Jim Carrey,11,39
Jim Carter,16,11
Jim Caviezel,741,0
Jim Cummings,10,41
Jim Parsons,11,10
Jim Sturgess,0,7
Jimmi Simpson,18,20
Jimmy O. Yang,11,18
Jing Tian,5,2
Jo Bo-ah,742,0
Jo Han-chul,168,24
Jo Jae-yun,168,12
JoJo Siwa,22,6
Joan Allen,743,0
Joan Chen,5,1
Joan Cusack,0,20
Joan Freeman,744,0
Joan Severance,745,0
Joanna Lumley,16,6
Joanna Scanlan,16,8
Joanne Kelly,746,0
Joanne Whalley,18,1
Joaquim de Almeida,14,10
Joaquin Phoenix,14,21
Jocelin Donahue,11,3
Jocelyn Hudon,15,1
Jodelle Ferland,15,4
Jodhi May,16,1
Jodi Lyn O'Keefe,747,0
Jodie Comer,16,5
Jodie Foster,0,13
Jody Thompson,0,2
Joe Anderson,748,0
Joe Bird,749,0
Joe Cole,14,1
Joe Dallesandro,750,0
Joe Dempsie,48,1
Joe Estevez,18,5
Joe Johnston,7,1
Joe Keery,0,6
Joe Lando,22,1
Joe Mantegna,0,1
Joe Pantoliano,10,1
Joe Pesci,0,7
Joe Rogan,11,2
Joe Taslim,14,1
Joel Basman,41,4
Joel Edgerton,4,28
Joel Fry,16,6
Joel Kinnaman,4,9
Joelle Carter,751,0
Joely Richardson,0,9
Joey Fisher,752,0
Joey King,4,22
Joey Lawrence,18,3
Johanna Gastdorf,753,0
John Boyd,754,0
John Bradley,48,15
John C. McGinley,755,0
John C. Reilly,11,41
John Carpenter,18,17
John Carroll Lynch,7,6
John Castle,756,0
John Cena,14,48
John Cenatiempo,14,3
John Cho,16,22
John Cleese,16,21
John Corbett,18,9
John Cusack,11,14
John David Washington,11,7
John DiMaggio,10,86
John Diehl,757,0
John Doman,758,0
John Forsythe,759,0
John Francis Daley,11,2
John Getz,14,7
John Goodman,11,78
John Hannah,0,2
John Hawkes,41,12
John Heard,18,3
John Hurt,16,49
John Krasinski,7,15
John Landis,0,23
John Lasseter,0,8
John Leguizamo,48,33
John Lithgow,4,38
John Logan,760,0
John M. Jackson,761,0
John Maclaren,4,1
John Malkovich,0,25
John Mulaney,11,14
John Noble,762,0
John Novak,763,0
John Polson,764,0
John Pyper-Ferguson,765,0
John Rhys-Davies,8,22
John Ross Bowie,11,1
John Slattery,7,30
John Travolta,0,49
John Turturro,10,17
John Waters,18,21
John Woo,0,2
John Woodvine,766,0
Johnathon Schaech,0,6
Johnny Depp,0,69
Johnny Flynn,40,1
Johnny Galecki,22,1
Johnny Knoxville,14,12
Johnny Lewis,767,0
Johnny Messner,0,9
Johnny Nguyen,768,0
Johnny Pemberton,11,14
Johnny Simmons,11,14
Joji Yanami,33,2
Jolene Blalock,769,0
Jon Bernthal,7,26
Jon Cryer,11,1
Jon Favreau,7,87
Jon Gries,168,13
Jon Hamm,11,43
Jon Huertas,11,1
Jon Kortajarena,770,0
Jon Lovitz,11,42
Jon M. Chu,4,1
Jon Voight,0,35
Jonah Bobo,771,0
Jonah Hauer-King,772,0
Jonah Hill,11,51
Jonathan Aris,7,7
Jonathan Bailey,16,1
Jonathan Banks,0,11
Jonathan Bennett,10,9
Jonathan Frakes,10,9
Jonathan Nolan,4,12
Jonathan Pryce,40,10
Jonathan Rhys Meyers,773,0
Jonathan Roumie,774,0
Jonathan Scarfe,15,1
Jonathan Silverman,18,2
Jonathan Walker,775,0
Jonathan Zaccaï,41,2
Jonny Lee Miller,7,2
Joo Won,776,0
Jordan Claire Robbins,777,0
Jordan Patrick Smith,778,0
Jordan Peele,11,11
Jordana Brewster,14,19
Jordana Spiro,22,10
Jordyn Ashley Olson,779,0
Jorja Fox,780,0
Jose Coronado,142,2
Joseph D. Reitman,7,1
Joseph Fiennes,0,1
Joseph Gordon-Levitt,4,31
Joseph Morgan,11,1
Joseph Sikora,781,0
Josephine Langford,22,8
Josh Brolin,7,84
Josh Charles,0,1
Josh Cooke,207,1
Josh Duhamel,10,36
Josh Gad,11,44
Josh Hartnett,10,5
Josh Holloway,782,0
Josh Hutcherson,8,29
Josh Lucas,10,1
Josh O'Connor,16,1
Josh Peck,48,19
Josh Segarra,783,0
Joshua Bassett,11,1
Joshua Jackson,784,0
Josie Loren,785,0
Joss Whedon,7,18
José Wilker,786,0
Joyce Hyser,787,0
Ju Ji-hoon,168,9
Juan Pablo Di Pace,788,0
Judah Friedlander,18,9
Judd Hirsch,11,9
Jude Law,0,38
Judge Reinhold,789,0
Judi Dench,16,51
Judith Godrèche,790,0
Judy Cornwell,791,0
Judy Davis,16,6
Judy Greer,22,32
Judy Landers,792,0
Julia Benson,15,9
Julia Butters,793,0
Julia Campbell,794,0
Julia Cheng Yim-Lai,5,3
Julia Garner,16,2
Julia Goldani Telles,795,0
Julia Louis-Dreyfus,7,24
Julia Nickson,796,0
Julia Ormond,0,3
Julia Richter,797,0
Julia Roberts,4,17
Julia Stiles,48,3
Julian Cihi,798,0
Julian Fellowes,799,0
Julian Firth,4,1
Julian Glover,800,0
Julian McMahon,0,3
Julian Ovenden,0,1
Julian Sands,0,7
Julianna Guill,18,5
Julianna Margulies,801,0
Julianne Hough,11,3
Julianne Moore,8,37
Julie Ann Emery,802,0
Julie Benz,803,0
Julie Bowen,11,5
Julie Christie,804,0
Julie Condra,805,0
Julie Hagerty,0,2
Julie K. Smith,576,1
Julie Michaels,806,0
Julie Newmar,10,4
Julie Strain,807,0
Julie Walters,16,45
Julie Warner,808,0
Julie White,11,4
Juliet Aubrey,809,0
Juliet Cowan,810,0
Juliette Binoche,41,15
Juliette Lewis,11,2
Julio Peña,811,0
Jun Fukuyama,33,73
Jun Ji-hyun,812,0
Jun Jong-seo,813,0
June Foray,10,2
June Lockhart,814,0
Jung Ga-ram,815,0
Jung Hae-in,168,2
Jung Il-woo,816,0
Jung Ji-so,817,0
Jung Jin-young,168,15
Jung Ryeo-won,168,1
Jung Yoo-min,818,0
Jung Yu-mi,168,3
Junichi Okada,42,8
Junichi Suwabe,33,62
Junichi Yanagita,33,10
Junko Takeuchi,33,38
Juno Temple,16,20
Junya Enoki,33,15
Jurnee Smollett,4,1
Justice Smith,41,4
Justin Bartha,11,6
Justin Bieber,11,11
Justin Bruening,819,1
Justin Chambers,14,1
Justin Chatwin,0,2
Justin Hartley,820,0
Justin Long,11,30
Justin Theroux,11,7
Justina Machado,11,1
Justine Bateman,821,0
Justine Triet,822,0
Jyothika,823,0
Jördis Triebel,41,2
Jürgen Prochnow,824,0
Kaan Urgancıoğlu,825,0
Kacey Rohl,10,2
Kadeem Hardison,826,0
Kader Khan,827,0
Kaede Hondo,33,6
Kaho,42,3
Kaho Minami,42,2
Kai Lennox,11,11
Kaitlin Doubleday,828,0
Kaitlin Olson,11,5
Kaitlyn Dever,7,7
Kaito Ishikawa,33,53
Kajal Agarwal,3,2
Kajol,3,4
Kaley Cuoco,11,10
Kam Heskin,829,0
Kamal Haasan,3,5
Kana Hanazawa,33,70
Kana Ichinose,830,0
Kandyse McClure,15,1
Kane Hodder,18,23
Kang Eun-hye,32,1
Kang Ha-neul,168,8
Kang Han-na,168,4
Kang Hye-jung,831,0
Kang Min-hyuk,832,0
Kang Ye-won,168,3
Kanye West,11,28
Kaori Ishihara,33,24
Kaori Maeda,33,1
Kaori Nazuka,33,54
Kappei Yamaguchi,33,51
Kara Wai Ying-Hung,5,3
Karan Brar,22,8
Kareena Kapoor Khan,3,9
Karen Austin,833,0
Karen Black,834,0
Karen Fukuhara,10,1
Karen Gillan,7,87
Karen Mok Man-Wai,835,0
Karen Robinson,11,6
Kari Matchett,836,0
Kari Wahlgren,10,72
Kari Wuhrer,10,1
Karin Franz Körlof,4,1
Karina Lombard,837,0
Karissa Lee Staples,838,0
Karl Urban,16,14
Karolina Wydra,839,0
Karry Wang,840,0
Kasia Smutniak,41,3
Kasumi Arimura,42,15
Kat Dennings,7,25
Kat Foster,841,0
Kat Graham,842,0
Katarina Čas,11,1
Kate Ashfield,4,2
Kate Beahan,843,0
Kate Beckinsale,4,4
Kate Bosworth,11,3
Kate Flannery,10,1
Kate Hewlett,844,0
Kate Hodge,18,1
Kate Hudson,4,8
Kate Lyn Sheil,0,4
Kate Mara,7,20
Kate McKinnon,11,30
Kate Nauta,845,0
Kate Phillips,16,1
Kate Siegel,0,1
Kate Upton,846,0
Kate Walsh,11,6
Kate Winslet,0,50
Kate del Castillo,10,3
Katee Sackhoff,10,2
Katey Sagal,11,1
Katharine Isabelle,18,7
Katharine Ross,847,0
Katherine Heigl,11,7
Katherine Helmond,0,5
Katherine Kelly Lang,848,0
Katherine Langford,849,0
Katherine McNamara,14,12
Katherine Moennig,850,0
Katherine Parkinson,851,0
Katherine Waterston,14,20
Katheryn Winnick,852,0
Kathleen Barr,10,6
Kathleen Munroe,853,0
Kathleen Quinlan,48,1
Kathleen Robertson,854,0
Kathleen Turner,11,4
Kathleen York,855,0
Kathryn Hahn,11,51
Kathryn Hunter,856,0
Kathryn Morris,857,0
Kathryn Newton,7,7
Kathy Baker,4,10
Kathy Bates,0,20
Katie Cassidy,11,1
Katie Douglas,858,0
Katie Featherston,18,7
Katie Holmes,0,9
Katie Leung,16,24
Katie Parker,7,2
Katja Herbers,859,0
Katrina Bowden,0,5
Katrina Kaif,3,12
Katrina Law,860,0
Katsuyuki Konishi,33,60
Katt Williams,11,5
Katy Louise Saunders,41,1
Katy O'Brian,7,7
Kay Lenz,861,0
Kay Panabaker,862,0
Kaya Scodelario,14,12
Kayla Ewell,15,1
Kaylee Bryant,863,0
Kaylee Hottle,11,2
Kayvan Novak,16,4
Kazue Fukiishi,864,0
Kazuhiro Yamaji,33,22
Keanu Reeves,0,41
Keegan Connor Tracy,15,9
Keegan-Michael Key,11,77
Keeley Hawes,865,0
Keiko Kitagawa,42,9
Keir Dullea,866,0
Keir O'Donnell,7,1
Keira Knightley,16,12
Keith Allen,16,2
Keith Carradine,22,4
Keith David,18,34
Keith Ferguson,10,30
Keke Palmer,48,19
Kellan Lutz,40,33
Kelli Giddish,867,0
Kelli McCarty,187,1
Kelli Williams,868,0
Kellie Martin,15,2
Kelly Brook,869,0
Kelly Greyson,0,3
Kelly Hu,10,25
Kelly LeBrock,870,0
Kelly Lynch,11,1
Kelly Macdonald,16,12
Kelly McGillis,18,2
Kelly Preston,0,1
Kelly Reilly,0,1
Kelly Rutherford,871,0
Kelly Sheridan,10,8
Kelly Thiebaud,872,0
Kelsey Asbille,873,0
Kelsey Grammer,11,37
Ken Jenkins,874,0
Ken Jeong,11,62
Ken Leung,4,1
Ken Loach,0,2
Ken Watanabe,11,18
Kenan Thompson,11,72
Kengo Kora,42,13
Kenichi Endo,42,8
Kenichi Suzumura,33,62
Kenji Nomura,33,12
Kenjiro Tsuda,33,50
Kenneth Branagh,7,34
Kenneth Choi,7,8
Kenny Johnson,875,0
Kenta Miyake,33,73
Kento Yamazaki,42,6
Kerem Bürsin,876,0
Keri Russell,16,14
Kerry Armstrong,877,0
Kerry Condon,7,45
Kerry Fox,0,3
Kerry Washington,11,12
Kev Adams,41,5
Kevin Alejandro,878,0
Kevin Bacon,4,22
Kevin Chamberlin,41,1
Kevin Cheng,5,4
Kevin Conroy,10,20
Kevin Costner,14,27
Kevin Dillon,0,7
Kevin Dunn,10,7
Kevin Durand,48,18
Kevin Feige,7,50
Kevin Hart,11,71
Kevin J. O'Connor,879,0
Kevin James,11,30
Kevin Janssens,880,0
Kevin Kline,0,6
Kevin McKidd,16,4
Kevin Michael Richardson,10,71
Kevin Sorbo,18,12
Kevin Spacey,0,19
Kevin Zegers,881,0
Khalid Rahman,882,0
Khalil Kain,883,0
Khamani Griffin,884,0
Khandi Alexander,885,0
Khary Payton,10,24
Ki Hong Lee,14,11
Kiana Madeira,22,16
Kiefer Sutherland,11,10
Kiele Sanchez,886,0
Kieran Culkin,11,11
Kiernan Shipka,10,2
Kiersey Clemons,14,8
Kiersten Warren,22,3
Kiichi Nakai,42,3
Kikuko Inoue,33,44
Kim Basinger,37,15
Kim Bodnia,14,6
Kim Bum,887,0
Kim Cattrall,888,0
Kim Coates,11,5
Kim Da-mi,168,1
Kim Darby,889,0
Kim Dickens,890,0
Kim Do-hee,32,1
Kim Eun-sook,891,0
Kim Go-eun,892,0
Kim Hae-sook,168,8
Kim Hartman,893,0
Kim Hee-jeong,894,0
Kim Hee-seon,895,0
Kim Henkel,896,0
Kim Hwan-hee,897,0
Kim Hyang-gi,168,10
Kim Hye-jun,898,0
Kim Hye-ok,168,1
Kim Hye-soo,168,3
Kim Hye-yoon,899,0
Kim Jae-wook,900,0
Kim Ji-ah,32,5
Kim Ji-hun,901,0
Kim Ji-seok,902,0
Kim Ji-won,903,0
Kim Jisoo,717,1
Kim Joo-ryoung,168,1
Kim Jung-eun,904,0
Kim Jung-nan,905,0
Kim Kang-woo,168,9
Kim Kap-soo,168,1
Kim Kwang-kyu,168,2
Kim Min-gue,906,0
Kim Min-jun,168,2
Kim Moo-yul,168,9
Kim Nam-gil,168,5
Kim Ok-vin,168,1
Kim Rae-won,168,3
Kim Raver,10,5
Kim Rhodes,907,0
Kim Richards,908,0
Kim Rossi Stuart,41,1
Kim Sa-rang,909,0
Kim Sae-ron,168,2
Kim Seon-ho,910,0
Kim So-hyun,911,0
Kim So-yeon,912,0
Kim Soo-hyun,168,1
Kim Soo-ji,32,1
Kim Sun-young,168,7
Kim Tae-hyung,11,1
Kim Tae-ri,168,4
Kim Won-hae,168,12
Kim Yeo-jin,913,0
Kim Yeong-ok,32,1
Kim Yoon-hye,914,0
Kim You-jung,168,3
Kim Young-kwang,915,1
Kim Young-min,168,5
Kimberly Elise,11,5
Kimberly Hebert Gregory,916,0
Kimberly Williams-Paisley,15,8
Kimiko Yo,42,5
Kingsley Ben-Adir,917,0
Kira Kosarin,22,7
Kira Reed Lorsch,18,1
Kirk Douglas,0,20
Kirsten Dunst,7,30
Kirsten Nelson,18,7
Kirstie Alley,918,0
Kisho Taniyama,33,22
Kit Harington,48,32
Ko Shibasaki,42,3
Ko Sung-hee,919,0
Kohsuke Toriumi,33,59
Koichi Yamadera,33,76
Koji Yakusho,42,11
Koki Uchiyama,33,49
Koo Hye-sun,920,0
Koshi Mizukami,921,0
Kostja Ullmann,41,4
Kotone Furukawa,42,2
Kotono Mitsuishi,33,42
Kris Kristofferson,4,6
Kris Marshall,922,0
Krista Allen,18,2
Krista Bridges,0,1
Kristanna Loken,18,2
Kristen Bell,11,62
Kristen Connolly,923,0
Kristen Hager,924,0
Kristen Miller,925,0
Kristen Schaal,11,45
Kristen Stewart,40,34
Kristen Wiig,11,84
Kristin Chenoweth,11,16
Kristin Davis,11,5
Kristin Kreuk,926,0
Kristin Scott Thomas,16,5
Kristine Froseth,16,1
Kristofer Hivju,48,16
Kristy Swanson,10,5
Krithi Shetty,927,0
Kriti Sanon,3,1
Krysten Ritter,0,10
Kulap Vilaysack,10,7
Kumail Nanjiani,11,44
Kumiko Aso,42,5
Kunal Nayyar,11,7
Kurt Fuller,18,10
Kurt Russell,14,52
Kurtwood Smith,928,0
Kwak Dong-yeon,168,3
Kwon Hae-hyo,168,6
Kyla Pratt,929,0
Kyle Chandler,11,14
Kyle Gallner,22,8
Kyle MacLachlan,0,15
Kyoko Hikami,33,1
Kyra Sedgwick,18,3
Kıvanç Tatlıtuğ,930,0
Lacey Chabert,10,13
Lady Gaga,11,37
Laetitia Casta,41,3
Lainie Kazan,18,7
Lana Parrilla,931,0
Lana Wachowski,932,0
Lana Wood,933,0
Lance Barber,934,0
Lance Henriksen,18,9
Lance Reddick,0,10
Lane Garrison,18,1
Lara Dutta,3,3
Lara Flynn Boyle,935,0
Lara Gilchrist,10,3
Lara Jean Chorostecki,4,1
Lara Jill Miller,10,6
Lara Pulver,4,1
Lara-Joy Körner,936,0
Larisa Oleynik,937,0
Larry Hankin,0,8
Lars Mikkelsen,4,1
Lars von Trier,0,11
Lashana Lynch,7,24
Laura Allen,938,0
Laura Benanti,7,1
Laura Dern,0,62
Laura Fraser,0,2
Laura Harrier,7,12
Laura Harring,22,3
Laura Harris,10,1
Laura Linney,16,8
Laura Mennell,15,1
Laura Morante,41,2
Laura Prepon,939,0
Laura Ramsey,940,0
Laura San Giacomo,941,0
Laura Slade Wiggins,942,0
Laura Spencer,943,0
Laura Surrich,944,0
Laura Vandervoort,4,2
Laure Calamy,41,3
Laure Marsac,945,0
Lauren Ambrose,16,1
Lauren Bacall,0,13
Lauren Cohan,7,8
Lauren German,946,0
Lauren Holly,15,3
Lauren Lapkus,11,16
Laurence Fishburne,0,41
Laurence Rupp,947,0
Laurene Landon,18,4
Laurie Holden,7,10
Laurie Metcalf,0,7
Lauro David Chartrand-DelValle,15,2
Laz Alonso,0,2
Leah Cairns,15,3
Leah Remini,948,0
Lee Arenberg,949,0
Lee Byung-hun,168,7
Lee Chung-ah,168,2
Lee Do-hyun,950,0
Lee Dong-wook,168,1
Lee Eun-mi,32,5
Lee Evans,951,0
Lee Garlington,132,1
Lee Grant,0,4
Lee Ha-nee,168,9
Lee Han-wi,168,4
Lee Hee-jun,168,13
Lee Hoi-Sang,5,2
Lee Hye-young,168,2
Lee Hyun-woo,952,0
Lee Hyun-wook,953,0
Lee Ingleby,954,0
Lee Jae-won,168,1
Lee Jae-wook,955,0
Lee Jin-wook,168,2
Lee Jong-suk,956,0
Lee Joo-young,957,0
Lee Joon,958,0
Lee Joon-gi,959,0
Lee Ju-bin,960,0
Lee Jun-ho,168,2
Lee Jun-hyuk,168,5
Lee Jun-young,961,0
Lee Jung-eun,168,14
Lee Jung-jae,168,11
Lee Kwang-soo,168,4
Lee Kyung-young,168,42
Lee Lik-Chi,5,2
Lee Majors,962,0
Lee Mi-sook,963,0
Lee Min-ho,964,0
Lee Min-ki,168,1
Lee Pace,7,25
Lee Sang-hee,168,7
Lee Seung-gi,965,0
Lee Seung-joon,168,5
Lee Sun-kyun,168,4
Lee Thompson Young,966,0
Lee Tockar,10,5
Lee Yi-kyung,168,2
Leelee Sobieski,967,0
Leif Gantvoort,968,0
Leighton Meester,11,7
Lena Headey,48,19
Lena Olin,0,11
Lennie James,7,7
Lenny Kravitz,8,24
Leo Rossi,969,0
Leo Wu,970,0
Leon Lai,5,2
Leonardo DiCaprio,0,47
Leonor Varela,971,0
Leonor Watling,972,0
Leos Carax,16,4
Lesley Ann Warren,14,2
Lesley Manville,16,12
Lesley Sharp,973,0
Lesley-Ann Brandt,974,0
Lesley-Anne Down,18,1
Leslie Bibb,8,9
Leslie Caron,975,0
Leslie David Baker,976,0
Leslie Easterbrook,18,3
Leslie Hope,977,0
Leslie Mann,11,18
Leslie Nielsen,978,0
Leslie Phillips,16,1
Letitia Wright,7,40
Letizia Toni,979,0
Leven Rambin,8,16
Levi Miller,16,1
Levy Tran,5,3
Lewis Fitz-Gerald,980,0
Lewis Gilbert,981,0
Lex Medlin,982,0
Lexa Doig,15,3
Leïla Bekhti,41,9
Li Bingbing,11,9
Li Xian,983,0
Liam Aiken,984,0
Liam Cunningham,48,20
Liam Hemsworth,8,33
Liam McIntyre,18,10
Liam Neeson,16,79
Liana Liberato,22,4
Liev Schreiber,0,35
Lil' Kim,985,0
Lili Reinhart,48,1
Lili Taylor,14,3
Lilly Krug,14,1
Lily Allen,986,0
Lily Collins,22,3
Lily Franky,42,18
Lily Gladstone,987,0
Lily James,16,8
Lily Newmark,988,0
Lily Rabe,37,1
Lily Tomlin,11,11
Lily-Rose Depp,11,5
Lim Ji-yeon,168,2
Lim Soo-jung,168,3
Lin Gengxin,5,2
Lin Yi,989,0
Lina El Arabi,990,0
Lina Esco,991,0
Linda Blair,0,4
Linda Cardellini,7,42
Linda Evans,992,0
Linda Hamilton,0,6
Linda Harrison,993,0
Linda Hunt,994,0
Linden Ashby,995,0
Lindsay Duncan,16,9
Lindsay Lohan,0,10
Lindsay Sloane,11,7
Lindsay Wagner,996,0
Lindsey Morgan,997,0
Lindy Booth,998,0
Linus Roache,999,0
Lio Tipton,11,1
Lionel Richie,11,5
Lior Ashkenazi,1000,0
Lisa Ann Walter,1001,0
Lisa Edelstein,1002,0
Lisa Emery,1003,0
Lisa Kudrow,11,27
Lisa Roberts Gillan,4,5
Lisa Vicari,1004,0
LisaGay Hamilton,1005,0
LisaRaye McCoy,1006,0
Liu Haocun,1007,0
Liu Yifei,5,5
Liv Tyler,14,3
Liz White,1008,0
Liza Koshy,11,3
Liza Weil,1009,0
Lizze Broadway,365,1
Lizzy Caplan,11,8
Lloyd Kaufman,18,41
Lo Meng,5,11
Lochlyn Munro,15,33
Logan Kim,11,9
Logan Lerman,16,6
Logan Marshall-Green,7,26
Logan Miller,4,4
Lois Smith,22,6
Lola Falana,1010,0
Lola Flanery,1011,0
Lola Glaudini,1012,0
Loles León,1013,0
Loletta Lee,1014,0
Lolita Davidovich,1015,0
Loren Dean,1016,0
Lorenza Izzo,0,2
Lorenzo Lamas,18,9
Lorenzo Zurzolo,41,1
Loretta Swit,1017,0
Lori Petty,1018,0
Lori Tan Chinn,11,1
Lorraine Bracco,4,3
Lorraine Toussaint,48,1
Lotte Verbeek,1019,0
Lou Diamond Phillips,18,10
Lou Ferrigno,7,27
Lou Ferrigno Jr.,18,1
Louis C.K.,11,26
Louis Ferreira,1020,0
Louis Garrel,41,20
Louis Gossett Jr.,0,16
Louis Hofmann,0,1
Louis Koo,5,21
Louis Leterrier,1021,0
Louis Partridge,16,4
Louise Bourgoin,41,2
Louise Brealey,7,5
Louise Fletcher,1022,0
Louise Lasser,1023,0
Louise Lombard,22,7
Lubna Azabal,4,1
Lucas Black,14,11
Lucas Gregorowicz,41,2
Lucas Jade Zumann,1024,0
Lucas Till,4,9
Luciane Buchanan,1025,0
Lucie Guest,15,5
Lucien Laviscount,1026,0
Lucille Soong,4,1
Lucy Boynton,16,4
Lucy Cohu,1027,0
Lucy DeVito,11,1
Lucy Gaskell,1028,0
Lucy Gutteridge,1029,0
Lucy Hale,4,2
Lucy Lawless,1030,0
Lucy Liu,10,35
Lucy Punch,11,13
Ludacris,14,29
Ludivine Sagnier,41,1
Luis Guzmán,11,16
Luis Zahera,142,4
Luisa d'Oliveira,15,2
Lukas Haas,4,8
Luke Benward,1031,0
Luke Bracey,0,2
Luke David Blumm,11,1
Luke Evans,14,40
Luke Goss,18,8
Luke Grimes,37,12
Luke Ishikawa Plowden,1032,0
Luke Macfarlane,15,1
Luke Perry,15,2
Luna Baxter,1033,0
Luna Lauren Velez,11,9
Lupita Nyong'o,16,36
Lyna Khoudri,41,7
Lynda Boyd,15,2
Lyndie Greenwood,1034,0
Lyndsy Fonseca,0,5
Lynn Collins,14,1
Lynn Whitfield,11,2
Léa Drucker,41,4
Léa Seydoux,16,38
M. Emmet Walsh,18,3
M. Night Shyamalan,4,6
M.C. Gainey,10,7
Ma Dong-seok,168,39
Maaya Sakamoto,33,66
Maaya Uchida,33,31
Macaulay Culkin,11,4
Mace Coronel,22,7
Mackenyu,42,7
Mackenzie Crook,8,3
Mackenzie Davis,14,2
Mackenzie Foy,40,19
Maddie Phillips,1035,0
Maddie Ziegler,11,1
Madelaine Petsch,1036,0
Madeleine Martin,1037,0
Madeleine McGraw,0,1
Madeleine Stowe,1038,0
Madeleine Yuna Voyles,11,4
Madeline Carroll,1039,0
Madeline Zima,22,2
Madelyn Cline,1040,0
Madhuri Dixit,3,2
Madison Davenport,1041,0
Madison Iseman,11,8
Madison McKinley,8,2
Madison Pettis,10,15
Madolyn Smith Osborne,1042,0
Mads Mikkelsen,8,24
Mads Sjøgård Pettersen,14,2
Mae Whitman,10,45
Maggie Cheung,5,1
Maggie Grace,40,23
Maggie Gyllenhaal,4,7
Maggie Lawson,18,9
Maggie Q,4,16
Maggie Siff,1043,0
Maggie Wheeler,1044,0
Mahershala Ali,8,32
Maia Mitchell,1045,1
Maika Monroe,0,6
Maisie Williams,48,12
Maite Perroni,1046,0
Maitreyi Ramakrishnan,1047,0
Makenzie Vega,1048,1
Makoto Shinkai,1049,0
Malachi Barton,1050,0
Malcolm McDowell,10,56
Malcolm-Jamal Warner,1051,0
Malin Åkerman,11,13
Malina Weissman,1052,0
Mallika Sherawat,3,1
Maluma,11,6
Mami Koyama,33,13
Mamie Gummer,14,1
Mamie Van Doren,1053,0
Mamitha Baiju,1054,0
Mamoru Miyano,33,74
Manfred Wong Man-Chun,1055,0
Manish Dayal,1056,0
Manju Warrier,3,3
Manny Montana,1057,0
Manoj Bajpayee,3,6
Manu Bennett,0,14
Manu Ríos,1058,0
Manuel Garcia-Rulfo,22,5
Manuela Velasco,1059,0
Mao Ichimichi,33,50
Mao Inoue,42,2
Mara Wilson,0,1
Marc Evan Jackson,11,8
Marc John Jefferies,4,2
Marc Menchaca,1060,0
Marc Ruchmann,1061,0
Marci T. House,15,10
Marcia DeBonis,7,1
Marcia Gay Harden,37,18
Marcus Rosner,15,8
Margaret Blye,1062,0
Margaret Colin,1063,0
Margaret Qualley,11,5
Margo Harshman,1064,0
Margo Martindale,22,12
Margo Stilley,11,1
Margot Kidder,18,3
Margot Robbie,11,34
Mari Natsuki,1065,0
Maria Bello,11,13
Maria Bonnevie,1066,0
Maria Canals-Barrera,10,13
Maria Dizzia,4,3
Maria Doyle Kennedy,48,1
Maria Grazia Cucinotta,1067,0
Maria Kulle,1068,0
Maria de Medeiros,7,6
Marianne Jean-Baptiste,1069,0
Maribel Verdú,142,2
Marie Avgeropoulos,15,6
Mariel Hemingway,0,3
Mariette Hartley,1070,0
Marilyn Manson,18,1
Marina Foïs,41,7
Marina Inoue,33,52
Marina Sirtis,10,9
Marina Vlady,1071,0
Marion Cotillard,4,55
Marisa Quinn,1072,0
Marisa Tomei,7,69
Mariska Hargitay,0,3
Mariya Ise,33,79
Mark Addy,16,1
Mark Boone Junior,18,5
Mark Consuelos,1073,0
Mark Dacascos,18,12
Mark Hamill,16,85
Mark Harmon,1074,0
Mark McKinney,1075,0
Mark Pellegrino,41,1
Mark Rendall,1076,0
Mark Rolston,18,2
Mark Ruffalo,7,80
Mark Rylance,16,6
Mark Sheppard,16,4
Mark Strong,16,44
Mark Valley,10,10
Mark Wahlberg,11,45
Mark-Paul Gosselaar,1077,0
Markella Kavenagh,1078,0
Markie Post,1079,0
Marla Gibbs,18,3
Marleen Lohse,41,1
Marley Shelton,8,8
Marlo Kelly,1080,0
Marnette Patterson,1081,0
Marshall Allman,18,1
Marshall Bell,18,6
Marthe Keller,41,1
Martin Compston,4,4
Martin Freeman,7,34
Martin Henderson,15,5
Martin Kove,18,7
Martin Landau,22,2
Martin Lawrence,11,2
Martin Scorsese,0,81
Martin Sheen,48,30
Martin Short,11,42
Martin Starr,7,36
Martin Wallström,48,3
Martina Gedeck,1082,0
Marton Csokas,7,5
Mary Elizabeth Mastrantonio,1083,0
Mary Elizabeth Winstead,11,15
Mary Holland,11,9
Mary Jo Catlett,10,4
Mary Jo Deschanel,1084,0
Mary Lynn Rajskub,22,3
Mary McDonnell,1085,0
Mary Mouser,10,1
Mary Steenburgen,11,13
Mary Stuart Masterson,1086,0
Mary-Louise Parker,0,7
Mary-Margaret Humes,40,1
María Conchita Alonso,1087,0
María Gabriela de Faría,1088,0
María Pedraza,142,1
María Valverde,1089,0
María de Nati,142,2
Masaki Okada,42,10
Masaki Terasoma,33,35
Masami Nagasawa,42,16
Masha Mashkova,1090,0
Mateo Arias,1091,0
Mathieu Amalric,0,45
Mathieu Kassovitz,41,3
