actor,community,degree
Anthony Bourdain,138,0
Anthony Carrigan,139,0
Anthony Edwards,18,4
Anthony Hopkins,7,54
Anthony Jennings,140,0
Anthony LaPaglia,0,7
Anthony Lemke,7,2
Anthony Mackie,7,72
Anthony Michael Hall,14,4
Anthony Ruivivar,0,1
Anthony Wong,5,13
Antje Traue,14,5
Anton Lesser,7,2
Anton Yelchin,16,32
Antonia Thomas,141,0
Antonio Banderas,11,45
Antonio de la Torre,142,6
Antony Starr,143,0
Anu Sinisalo,48,2
Anupam Kher,3,14
Anushka Shetty,3,2
Anya Chalotra,14,4
Anya Taylor-Joy,4,11
Aoi Ichikawa,144,0
Aoi Yuki,33,74
Aparna Nancherla,10,1
April Bowlby,145,0
Ara Mina,146,0
Archie Madekwe,147,0
Archie Panjabi,148,0
Ariana Grande,11,9
Ariana Greenblatt,22,2
Arielle Dombasle,41,1
Arielle Kebbel,22,8
Arliss Howard,149,0
Armand Assante,18,13
Armie Hammer,14,10
Armin Shimerman,10,7
Arnold Chon,150,0
Arnold Schwarzenegger,0,51
Arnold Vosloo,10,7
Art Malik,4,5
Aryan Simhadri,151,0
Arón Piper,152,0
Asa Butterfield,0,11
Asami,42,3
Asami Seto,33,53
Asami Usuda,42,1
Ash Brannon,153,0
Asher Angel,8,9
Asher Yasbincek,154,0
Ashley Greene,40,26
Ashley Johnson,16,3
Ashley Judd,4,20
Ashley Park,155,0
Ashley Scott,156,0
Ashley Tisdale,10,13
Ashley Williams,15,7
Ashley Zukerman,22,8
Ashton Kutcher,4,16
Ashwini Kalsekar,3,4
Asia Argento,0,1
Assaad Bouab,157,1
Astrid Bergès-Frisbey,0,2
Athena Karkanis,158,0
Atsuko Tanaka,33,18
Atsumi Tanezaki,33,24
Atticus Shaffer,10,6
Aubrey Dollar,159,0
Aubrey Plaza,11,41
Audrey Dana,41,4
Audrey Fleurot,41,7
Audrey Marie Anderson,160,0
Audrey Tautou,41,2
Auli'i Cravalho,11,10
Aunjanue Ellis-Taylor,4,6
Aura Garrido,161,0
Aurore Clément,41,2
Austin Amelio,0,3
Austin Butler,0,3
Austin Stowell,4,9
Autumn Reeser,10,5
Ava Mendez,162,1
Avan Jogia,11,3
Avantika,163,0
Avi Arad,7,8
Awkwafina,11,35
Axel Schreiber,164,0
Aya Asahina,165,0
Aya Cash,0,2
Aya Endo,33,38
Ayaka Ohashi,33,8
Ayame Misaki,33,5
Ayane Sakura,33,78
Ayanna Misola,162,1
Ayo Edebiri,11,2
Ayumi Ito,42,3
Ayumu Murase,33,50
Ayça Ayşin Turan,166,0
Azi Acosta,2,1
Azura Skye,167,0
B.J. Novak,10,10
BD Wong,41,7
Babs Olusanmokun,7,8
Bae Doona,14,11
Bae Suzy,168,1
Bai Ling,18,12
Bailee Madison,169,1
Bam Margera,14,3
Bang Chan,170,0
BarBara Luna,10,1
Barbara Alyn Woods,171,0
Barbara Bouchet,16,1
Barbara Hershey,14,3
Barbara Jefford,172,0
Barbara Niven,15,8
Barbara Shelley,173,0
Barbara Steele,4,1
Barbi Benton,174,0
Barnaby Kay,175,0
Barry Corbin,41,4
Barry Keoghan,11,13
Barry Shabaka Henley,18,2
Barış Arduç,176,0
Beatrice Rosen,177,0
Beau Bridges,0,4
Beau Garrett,40,3
Bebe Neuwirth,178,0
Becky Armstrong,179,0
Begoña Vargas,180,0
Bel Powley,181,0
Bella Dayne,182,0
Bella Ramsey,16,5
Bella Thorne,10,8
Ben Affleck,14,58
Ben Barnes,11,1
Ben Browder,183,0
Ben Daniels,7,9
Ben Foster,0,9
Ben Kingsley,0,50
Ben Mendelsohn,7,22
Ben Stiller,11,46
Ben Whishaw,16,30
Benedetta Porcaroli,41,1
Benedict Cumberbatch,7,132
Benedict Wong,7,60
Benicio del Toro,7,34
Benjamin Bratt,11,8
Benjamin Flores Jr.,22,18
Benjamin Hollingsworth,15,9
Benjamin Wadsworth,184,0
Benny Safdie,11,4
Benoît Magimel,41,3
Beril Pozam,185,0
Bernard Hill,16,2
Bess Armstrong,186,0
Beth Grant,41,17
Bethany Joy Lenz,15,1
Betty Buckley,4,4
Betty Gabriel,0,2
Betty Gilpin,22,1
Beverly D'Angelo,11,2
Beverly Lynne,187,1
Bex Taylor-Klaus,188,0
Bhumika Chawla,3,1
Bianca Kajlich,189,0
Bill Camp,4,27
Bill Duke,18,3
Bill Fagerbakke,10,8
Bill Hader,11,131
Bill Mumy,190,0
Bill Murray,11,83
Bill Nighy,16,38
Bill Paxton,0,3
Bill Pullman,4,15
Bill Skarsgård,4,31
Bill Smitrovich,10,6
Billie Eilish,11,9
Billie Piper,16,9
Billy Bob Thornton,4,6
Billy Burke,40,27
Billy Connolly,16,3
Billy Crudup,14,27
Billy Crystal,11,45
Billy Dee Williams,16,33
Billy Eichner,11,12
Billy Idol,191,0
Billy Magnussen,11,11
Billy Wirth,192,0
Billy Zane,18,23
Biran Damla Yılmaz,193,0
Birce Akalay,194,0
Birgitte Hjort Sørensen,195,0
Birkan Sokullu,196,0
Bitty Schram,197,0
Björn Kjellman,198,1
Blair Underwood,10,2
Blake Lively,11,3
Blake McIver Ewing,199,0
Blu Hunt,200,0
Blythe Danner,16,1
Bo Derek,18,4
Bob Gunton,11,5
Bob Hoskins,16,1
Bob Odenkirk,11,42
Bob Peterson,11,9
Bobby Cannavale,0,41
Bojana Novaković,7,2
Bokeem Woodbine,18,7
Bolo Yeung,201,0
Boman Irani,3,14
Bong Joon-ho,168,1
Bongkoj Khongmalai,202,0
Bonnie Bedelia,203,0
Bonnie Hunt,0,24
Bonnie Raitt,4,1
Boran Kuzum,204,0
Boyd Holbrook,8,11
Brad Bird,11,1
Brad Dourif,40,6
Brad Garrett,11,18
Brad Leland,205,0
Brad Pitt,0,70
Brad William Henke,10,1
Bradley Cooper,7,108
Bradley Steven Perry,206,0
Brandon Quinn,11,6
Brandon Routh,11,10
Bre Blair,207,1
Brea Grant,11,5
Breckin Meyer,10,17
Bree Turner,4,1
Brenda Bakke,208,0
Brenda Blethyn,8,2
Brenda Song,14,7
Brenda Strong,209,0
Brendan Beiser,210,0
Brendan Fletcher,18,11
Brendan Fraser,11,1
Brendan Gleeson,16,32
Brendan Scannell,211,0
Brendan Sexton III,8,5
Brent Spiner,10,5
Brent Stait,15,5
Brenton Thwaites,0,4
Brett Cullen,15,2
Brett Dier,15,4
Brett Tucker,212,0
Brian Austin Green,18,3
Brian Cox,0,17
Brian Dennehy,11,1
Brian Geraghty,10,6
Brian J. White,8,3
Brian Libby,213,0
Brian McNamara,214,0
Brian Poth,215,0
Brian Tee,168,1
Brian Thompson,18,3
Brian Tyree Henry,11,27
Brian Van Holt,216,0
Briana Cuoco,217,0
Briana Evigan,18,3
Brianne Howey,218,0
Bridget Flanery,219,0
Bridget Fonda,220,0
Bridget Moynahan,0,5
Bridget Regan,221,0
Brie Larson,7,60
Brigette Lundy-Paine,10,1
Brighton Sharbino,222,0
Brigid Brannagh,223,0
Brigitte Bardot,0,6
Brigitte Hobmeier,224,0
Brigitte Lin,225,0
Brigitte Nielsen,18,2
Britt Ekland,226,0
Britt Lower,227,0
Britt Robertson,11,4
Brittany Drisdelle,228,0
Brittany Finamore,229,0
Brittany Snow,11,9
Bronson Pinchot,230,0
Brooke Adams,0,1
Brooke Burns,10,2
Brooke D'Orsay,231,0
Brooke Langton,232,0
Brooke Nevin,233,0
Brooke Satchwell,7,3
Brooke Shields,0,9
Brooke Smith,4,2
Bruce A. Young,10,1
Bruce Campbell,7,22
Bruce Davison,18,9
Bruce Dern,0,35
Bruce Greenwood,10,19
Bruce McGill,10,11
Bruce Willis,0,100
Bruno Cremer,234,0
Bruno Mars,235,0
Bryan Cranston,0,70
Bryce Dallas Howard,41,17
Brynn Thayer,236,0
Bunta Sugawara,237,0
Burak Deniz,238,0
Burak Özçivit,239,0
Burt Bacharach,240,0
Burt Reynolds,0,3
Buçe Buse Kahraman,241,0
Byeon Woo-seok,242,0
Byron Mann,0,1
Bárbara Mori,243,0
Béatrice Dalle,41,3
Bérénice Bejo,41,10
C. Thomas Howell,10,9
C.S. Lee,244,0
Cailee Spaeny,4,2
Cailey Fleming,16,12
Caitlin FitzGerald,0,2
Caitlin Stasey,245,0
Caity Lotz,246,0
Caleb Deschanel,0,2
Caleb Landry Jones,4,6
Caleel Harris,8,8
Callan Mulvey,7,18
Callum Keith Rennie,37,7
Callum Turner,14,7
Calum Worthy,22,3
Cam Gigandet,22,5
Cameron Bancroft,15,2
Cameron Bright,40,11
Cameron Diaz,11,24
Cameron Monaghan,10,11
Camila Cabello,11,11
Camila Mendes,18,1
Camille Cottin,41,3
Camille Guaty,247,0
Camille Keaton,18,3
Campbell Scott,48,12
Camren Bicondova,248,0
Candi Milo,10,14
Candice Bergen,11,42
Candice King,249,0
Candice Michelle,250,0
Caner Cindoruk,251,0
Cansu Dere,252,0
Cara Buono,11,1
Cara Delevingne,16,10
Carel Struycken,0,4
Carey Mulligan,40,5
Cariba Heine,253,0
Carice van Houten,48,3
Carina Lau,5,7
Carl Lumbly,10,3
Carl Reiner,11,10
Carl Weathers,0,11
Carla Díaz,254,0
Carla Gallo,11,10
Carla Gugino,14,25
Carlo Verdone,0,4
Carlos Alazraqui,10,105
Carlson Young,22,1
Carmen Argenziano,11,3
Carmen Ejogo,14,11
Carmen Maura,41,2
Carmine Giovinazzo,255,0
Carol Ann Susi,256,0
Carol Kane,11,9
Caroline Dhavernas,7,1
Caroline Goodall,0,4
Caroline Munro,18,7
Carrie Anne Fleming,257,0
Carrie Coon,11,10
Carrie Fisher,16,40
Carrie Preston,4,2
Carrie-Anne Moss,48,3
Cary Elwes,14,36
Cary-Hiroyuki Tagawa,18,7
Casey Affleck,4,24
Casper Van Dien,18,14
Cassandra Jean Amell,258,0
Cassandra Peterson,18,16
Cassidy Freeman,259,0
Cate Blanchett,0,86
Caterina Ferioli,260,0
Caterina Murino,261,0
Catherine Bell,262,1
Catherine Breillat,263,0
Catherine Deneuve,41,16
Catherine Keener,0,11
Catherine McCormack,264,0
Catherine O'Hara,11,15
Catherine Schell,18,2
Catherine Tate,16,26
Catherine Zeta-Jones,11,4
Cathy Moriarty,265,0
Cathy Tyson,16,1
Ceci Balagot,15,1
Cecilia Suárez,22,4
Cedric Yarbrough,10,17
Cedric the Entertainer,11,29
Celeste O'Connor,11,9
Celia Imrie,16,21
Celina Jade,5,2
Cha Eun-woo,168,1
Chace Crawford,22,2
Chad Allen,266,0
Chad Lindberg,10,4
Chad Michael Collins,18,5
Chad Michael Murray,0,4
Chad Stahelski,0,9
Chadwick Boseman,7,61
Chae Soo-bin,267,0
Chance Perdomo,22,6
Chandler Riggs,7,11
Chandra West,268,0
Channing Tatum,11,49
Chantal Goya,269,0
Chantal Lauby,41,4
Charisma Carpenter,0,11
Charles Cyphers,22,2
Charles Lin,270,0
Charles Malik Whitfield,8,1
Charles Martin Smith,271,0
Charles Shaughnessy,272,0
Charlie Barnett,273,0
Charlie Cox,7,14
Charlie Day,11,34
Charlie Hunnam,14,2
Charlie Murphy,14,3
Charlie Sheen,11,9
Charlie Tahan,18,2
Charlize Theron,14,50
