Author,Community,Degree
https://openalex.org/A5058735228,8,6
https://openalex.org/A5061528283,16,8
https://openalex.org/A5058412746,31,3
https://openalex.org/A5017401263,2,48
https://openalex.org/A5005007108,37,13
https://openalex.org/A5052717630,8,11
https://openalex.org/A5084505122,62,10
https://openalex.org/A5079937813,16,10
https://openalex.org/A5004177513,16,6
https://openalex.org/A5033328555,42,7
https://openalex.org/A5016313702,16,10
https://openalex.org/A5024183744,16,12
https://openalex.org/A5066621495,16,10
https://openalex.org/A5054043838,10,9
https://openalex.org/A5078515950,62,6
https://openalex.org/A5017765466,8,3
https://openalex.org/A5014956855,42,7
https://openalex.org/A5067874735,42,7
https://openalex.org/A5066359113,16,8
https://openalex.org/A5074794877,10,13
https://openalex.org/A5090645162,0,9
https://openalex.org/A5066995499,37,12
https://openalex.org/A5020901777,0,4
https://openalex.org/A5038590383,44,5
https://openalex.org/A5017949231,10,10
https://openalex.org/A5048059617,10,8
https://openalex.org/A5024018027,0,4
https://openalex.org/A5060055160,0,3
https://openalex.org/A5022148961,14,3
https://openalex.org/A5002787525,0,2
https://openalex.org/A5051323783,17,7
https://openalex.org/A5041746597,42,7
https://openalex.org/A5006476793,0,7
https://openalex.org/A5048296639,37,26
https://openalex.org/A5011012964,18,25
https://openalex.org/A5058348013,40,4
https://openalex.org/A5049246408,16,7
https://openalex.org/A5029105520,16,22
https://openalex.org/A5057801018,44,9
https://openalex.org/A5003887059,16,10
https://openalex.org/A5072651383,31,8
https://openalex.org/A5074283953,10,9
https://openalex.org/A5090016322,16,7
https://openalex.org/A5081581970,0,3
https://openalex.org/A5073902328,10,14
https://openalex.org/A5025105803,8,3
https://openalex.org/A5028950652,8,2
https://openalex.org/A5088422764,0,3
https://openalex.org/A5048660530,0,3
https://openalex.org/A5090570042,18,12
https://openalex.org/A5074388586,0,15
https://openalex.org/A5023765219,16,9
https://openalex.org/A5084485442,16,13
https://openalex.org/A5066439685,42,5
https://openalex.org/A5072930694,17,13
https://openalex.org/A5031973253,42,4
https://openalex.org/A5058071755,16,7
https://openalex.org/A5034827139,8,13
https://openalex.org/A5085451600,16,8
https://openalex.org/A5026198819,18,4
https://openalex.org/A5078902586,0,7
https://openalex.org/A5020057874,10,4
https://openalex.org/A5017982658,16,7
https://openalex.org/A5007153226,2,1
https://openalex.org/A5014105109,42,9
https://openalex.org/A5009277635,42,7
https://openalex.org/A5088555912,0,8
https://openalex.org/A5013327075,1,3
https://openalex.org/A5042339914,42,8
https://openalex.org/A5065962800,37,5
https://openalex.org/A5071571264,42,7
https://openalex.org/A5056228425,18,2
https://openalex.org/A5000284405,37,4
https://openalex.org/A5042551745,0,7
https://openalex.org/A5036008436,10,6
https://openalex.org/A5015781386,16,10
https://openalex.org/A5017467806,0,7
https://openalex.org/A5003675850,24,3
https://openalex.org/A5060601483,74,2
https://openalex.org/A5028802911,72,4
https://openalex.org/A5004031088,31,13
https://openalex.org/A5064857767,33,21
https://openalex.org/A5032134965,31,16
https://openalex.org/A5004949920,33,10
https://openalex.org/A5040915036,31,16
https://openalex.org/A5046665314,8,22
https://openalex.org/A5032052125,16,6
https://openalex.org/A5057736319,31,13
https://openalex.org/A5074450042,31,8
https://openalex.org/A5068791018,2,1
https://openalex.org/A5005554590,42,7
https://openalex.org/A5018293580,33,6
https://openalex.org/A5056585720,31,8
https://openalex.org/A5026022014,16,6
https://openalex.org/A5081958083,10,5
https://openalex.org/A5048696924,10,7
https://openalex.org/A5083783061,10,6
https://openalex.org/A5005799052,42,3
https://openalex.org/A5057230433,0,4
https://openalex.org/A5055816070,16,3
https://openalex.org/A5080330150,0,12
https://openalex.org/A5055944363,16,3
https://openalex.org/A5040356737,0,2
https://openalex.org/A5068796595,31,8
https://openalex.org/A5037087050,17,15
https://openalex.org/A5049240073,2,6
https://openalex.org/A5039202353,42,3
https://openalex.org/A5015848182,31,8
https://openalex.org/A5062103492,75,5
https://openalex.org/A5057291277,18,18
https://openalex.org/A5047977747,75,3
https://openalex.org/A5043347770,16,7
https://openalex.org/A5090545869,16,6
https://openalex.org/A5010015600,42,1
https://openalex.org/A5077028846,16,2
https://openalex.org/A5036600382,76,4
https://openalex.org/A5072659160,16,8
https://openalex.org/A5082408253,1,4
https://openalex.org/A5066864733,16,5
https://openalex.org/A5004976832,72,1
https://openalex.org/A5033010304,52,4
https://openalex.org/A5064102093,76,4
https://openalex.org/A5091324572,1,2
https://openalex.org/A5087607093,76,9
https://openalex.org/A5076160972,16,7
https://openalex.org/A5001467582,30,17
https://openalex.org/A5009410290,76,4
https://openalex.org/A5007424153,8,1
https://openalex.org/A5006969369,2,5
https://openalex.org/A5082357240,10,8
https://openalex.org/A5024406485,6,6
https://openalex.org/A5089723214,16,4
https://openalex.org/A5078651528,18,15
https://openalex.org/A5059126266,6,4
https://openalex.org/A5085750604,18,9
https://openalex.org/A5052789848,10,8
https://openalex.org/A5081121618,2,3
https://openalex.org/A5040339760,42,5
https://openalex.org/A5023516815,42,4
https://openalex.org/A5019377732,75,3
https://openalex.org/A5023888505,6,37
https://openalex.org/A5074881456,6,47
https://openalex.org/A5025338734,6,13
https://openalex.org/A5042550344,6,36
https://openalex.org/A5072902302,32,3
https://openalex.org/A5071634649,18,13
https://openalex.org/A5019872801,4,3
https://openalex.org/A5069353228,9,6
https://openalex.org/A5023894100,9,15
https://openalex.org/A5020965594,18,9
https://openalex.org/A5080265907,44,22
https://openalex.org/A5052536455,44,10
https://openalex.org/A5037975948,17,71
https://openalex.org/A5073875709,2,29
https://openalex.org/A5046546654,30,74
https://openalex.org/A5022344557,77,2
https://openalex.org/A5007746083,0,17
https://openalex.org/A5062356850,77,2
https://openalex.org/A5038419868,4,3
https://openalex.org/A5049957600,6,26
https://openalex.org/A5065286115,17,10
https://openalex.org/A5032926589,2,39
https://openalex.org/A5033081182,30,56
https://openalex.org/A5017968236,17,9
https://openalex.org/A5043117896,18,18
https://openalex.org/A5046348432,18,36
https://openalex.org/A5025579437,2,13
https://openalex.org/A5001656908,2,8
https://openalex.org/A5048229410,3,2
https://openalex.org/A5064827570,17,38
https://openalex.org/A5052098157,9,9
https://openalex.org/A5079012482,5,9
https://openalex.org/A5023997241,3,8
